C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST00:43:45

HD142990
--------

Object V* V913 Sco  ---  Ro*  ---  OID=@2400277   (@@50004,18)  ---  coobox=16589

Coordinates(ICRS,ep=J2000,eq=2000): 15 58 34.8664705139  -24 49 53.358222372 (Opt ) A [0.1681 0.0684 90] 2018yCat.1345....0G
Coordinates(FK4,ep=B1950,eq=1950): 15 55 34.6445762094  -24 41 19.886109337
Coordinates(Gal,ep=J2000,eq=2000): 348.1191803237226  +21.1965109372146
hierarchy counts: #parents=1, #children=0, #siblings=0
Proper motions: -12.351 -24.802 [0.308 0.164 90] A 2018yCat.1345....0G
Parallax: 6.8413 [0.2048] A 2018yCat.1345....0G
Radial Velocity: -12.10 [3.4] C 2006AstL...32..759G
Redshift: -0.000040 [0.000011] C 2006AstL...32..759G
cz: -12.10 [3.40] C 2006AstL...32..759G
Flux U : 4.70 [~] C 2002yCat.2237....0D
Flux B : 5.34 [~] C 2002yCat.2237....0D
Flux V : 5.43 [~] C 2002yCat.2237....0D
Flux G : 5.3777 [0.0014] C 2018yCat.1345....0G
Flux J : 5.585 [0.018] C 2003yCat.2246....0C
Flux H : 5.672 [0.036] C 2003yCat.2246....0C
Flux K : 5.649 [0.026] C 2003yCat.2246....0C
Spectral type: B5V C 1988MSS...C04....0H
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (30):
   TIC 77676815                    CD-24 12427                     CPD-24 5613                   
   GC 21442                        GCRV 9188                       GEN# +1.00142990              
   HD 142990                       HIC 78246                       HIP 78246                     
   HR 5942                         PPM 264936                      ROT 2257                      
   SAO 183982                      SKY# 28835                      TD1 18714                     
   UBV 13543                       UBV M 21060                     V* V913 Sco                   
   YZ 114 11235                    [B10] 4058                      [SC96] Oph 22                 
   2MASS J15583487-2449531         ALS 15022                       TYC 6783-2695-1               
   Renson 40530                    EPIC 203814494                  uvby98 100142990              
   WEB 13231                       Gaia DR2 6236109243250504576    WISEA J155834.86-244953.5     

Bibcodes  1850-2021 () (188):
  2021A&A...646A..19T  2021MNRAS.504.3203S  2021MNRAS.504.3758P  2020ApJ...900..156D
  2020MNRAS.493..518K  2020MNRAS.493.4657L  2020MNRAS.499..702D  2020MNRAS.499.5379S
  2020PASP..132b4201P  2019A&A...623A..72K  2019AJ....158..187B  2019ApJ...877..123D
  2019AstBu..74...66G  2019MNRAS.482L...4L  2019MNRAS.485.1508S  2019MNRAS.486.5558S
  2019MNRAS.489L.102D  2019MNRAS.490..274S  2019MNRAS.490.3158C  2018A&A...616A..77B
  2018AJ....155..196R  2018AJ....156...76L  2018MNRAS.475.5144S  2018MNRAS.477L..50G
  2018MNRAS.478.2835L  2017A&A...597A..22S  2017AJ....153..218C  2017AJ....154..224R
  2017MNRAS.468.2745N  2016ApJS..224....2H  2016MNRAS.456....2W  2015A&A...580A..23P
  2015MNRAS.451.1928S  2015MNRAS.453.2220M  2014ApJ...781...88A  2014ApJ...785...47L
  2014MNRAS.443.1629S  2013MNRAS.429..398P  2012A&A...546A..61D  2012AJ....143...28F
  2012ApJ...746..154P  2012ApJ...758...31L  2012AstBu..67..177R  2012MNRAS.420..757W
  2012MNRAS.427..343M  2011A&A...533A.129V  2011MNRAS.410..190T  2011MNRAS.414.2602D
  2010AstBu..65..347R  2009A&A...498..961R  2009ApJ...705.1646C  2009ApJ...706..306L
  2009MNRAS.394.1338B  2008A&A...491..545N  2008AstBu..63..139R  2008MNRAS.389..869E
  2007A&A...466..269B  2007A&A...468..263C  2007A&A...470..685L  2007A&A...474...77K
  2007AJ....133.1092W  2007AN....328...10M  2007AN....328..475H  2007AstBu..62..244G
  2007AstBu..62..319G  2007AstL...33..571B  2006A&A...448.1001J  2006A&A...450..763K
  2006ApJ...651L..49C  2006AstL...32..759G  2006MNRAS.373..993F  2005A&A...430..137K
  2005A&A...430.1143B  2005AJ....129..809S  2005AJ....129..856H  2005AJ....130.1652R
  2004A&A...421..203S  2004A&A...423.1095L  2003A&A...404..913S  2003A&A...407..631B
  2003AJ....125.2531R  2003AN....324..219W  2003AN....324..445C  2003Ap.....46..234K
  2002A&A...381..446M  2002A&A...382...92S  2002ApJ...573..359A  2002BaltA..11....1W
  2002NewA....7..495C  2002yCat.2237....0D  2001A&A...367..521P  2001AJ....122.2008A
  1999A&A...351..554H  1999A&AS..137..113V  1999AJ....117..354D  1998A&AS..127..421C
  1998A&AS..129..431H  1998A&AS..132...93A  1998AJ....116.1314E  1998BSAO...46..118G
  1998CoSka..27..243C  1997A&A...319..811B  1997A&A...320..893L  1996A&A...310..271L
  1996A&A...311..230C  1996A&AS..118..481B  1996ApJS..104..101S  1995A&A...293..457L
  1995A&AS..109..177W  1995A&AS..114..269D  1994A&A...283..908L  1994ApJ...432..641G
  1994BSAO...38..119R  1994BSAO...38..152G  1993A&A...269..355B  1993Ap&SS.203...53H
  1993BSAO...36...52T  1993yCat.3135....0C  1992ApJ...393..341L  1992ApJS...82..117S
  1992JApA...13..175K  1991A&AS...89..429R  1991AISAO..34..131G  1991MNRAS.252..403P
  1991SoSAO..66....5K  1990A&AS...85..915D  1990AISAO..29...84K  1990Afz....33..363G
  1990Ap&SS.164..107R  1989A&A...216...44D  1989BAAS...21..742L  1988A&AS...72....1C
  1988A&AS...75..117B  1988AN....309..181R  1988MSS...C04....0H  1988PASP..100.1461M
  1987AISAO..24...44K  1987ApJS...64..219T  1987ApJS...64..487L  1986AISAO..21...21L
  1986AISAO..22...39G  1986AISAO..23...37G  1986AISAO..23...64L  1985A&A...149..266B
  1985A&AS...60...99W  1985A&AS...61..303W  1985AISAO..20...26G  1985AISAO..20...37G
  1985ApJS...59..397S  1985IBVS.2708....1R  1984A&A...138..493M  1984A&AS...55..371C
  1984IUE84......487B  1984PAZh...10..508K  1983A&A...127..271K  1983A&AS...53...91G
  1983ApJS...53..151B  1982A&A...111..117B  1982A&AS...47..341K  1982AN....303..105G
  1981A&A....94L..23G  1980A&A....83L...5G  1980A&AS...40..207C  1980ApJS...43..501C
  1979IBVS.1581....1K  1979PASP...91..348G  1977A&AS...27..443G  1977A&AS...30...11P
  1974A&A....36...57N  1972ApJ...178..189B  1971AJ.....76.1041G  1969ApJ...157..313H
  1969MNRAS.144...31B  1968ApJ...151.1043S  1968ApJS...15..459G  1967ApJ...147.1003G
  1964BAN....17..358B  1963ApJ...137..530C  1961ApJ...133..843H  1961MNRAS.122..325M
  1960BAN....15...67W  1960BAN....15..255B  1960MNRAS.121..263B  1958ApJ...128..185C
  1958ApJ...128..533B  1953GCRV..C......0W  1922ApJ....55...85L  1914ApJ....40...43K

Measures (diameter:1  distance:2  IUE:13  MK:11  PLX:3  PM:4  ROT:4  V*:1  velocities:6  ):
diameter:1distance:2IUE:13MK:11PLX:3PM:4ROT:4V*:1velocities:6

Notes (0) :

================================================================================

